Orth,Phon
eu,/əi̯/
ew,/ɛu̯/
ey,/e.ɨ̯/
yw,/ɪu̯/
wy,/ʊ̯i/
uw,/ɪu̯/
wy,/ʊ̯ɨ/
oe,/ɔi̯/
iw,/ɪu̯/
uw,/ɨu̯/
ow,/ɔu̯/
ou,/ɔi̯/
oi,/ɔi̯/
ae,/ai̯/
ai,/ai̯/
ae,/ɑːɨ̯/
aw,/au̯/
ei,/ɛi̯/
au,/aɨ̯/
ch,/χ/
dd,/ð/
ff,/f/
ng,/ŋ/
ll,/ɬ/
ph,/f/
rh,/r̥/
th,/θ/
a,/a/
b,/b/
c,/c/
d,/d/
e,/ɛ/
f,/v/
g,/g/
h,/h/
i,/ɪ/
j,/d͡ʒ/
l,/l/
m,/m/
n,/n/
o,oː
p,/p/
r,/r/
s,/s/
t,/t/
v,/f/
w,/w/
u,/ɪ/
y,/ɪ/


