Orth,Phon
ae,ae̯
au,au̯
ch,kʰ
gn,ŋn
ng,ŋ
ns,ns
nt,nt
oe,oe̯
ph,pʰ
qu,kʷ
rh,r̥
sc,sk
th,tʰ
ti,ti
a,a
ā,aː
b,b
c,k
d,d
e,e
ē,eː
f,f
g,ɡ
h,h
i,i
ī,iː
j,j
k,k
l,l
m,m
n,n
o,o
ō,oː
p,p
r,r
s,s
t,t
u,u
ū,uː
v,w
x,ks
y,y
z,z
